Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,145.869995,146.020004,145.080002,145.970001,121.936935,5777000
2020-01-03,143.500000,145.369995,143.000000,144.279999,120.525192,5752400
2020-01-06,144.000000,144.199997,142.850006,144.100006,120.374840,7731300
2020-01-07,144.009995,145.449997,141.380005,144.979996,121.109962,7382900
2020-01-08,144.869995,145.979996,143.699997,144.960007,121.093239,6605800
2020-01-09,145.759995,146.029999,144.990005,145.389999,121.452454,6112700
2020-01-10,145.750000,146.179993,144.899994,145.059998,121.176781,5042600
2020-01-13,145.479996,145.789993,144.720001,145.699997,121.711388,4593200
2020-01-14,145.050003,146.610001,144.729996,146.520004,122.396400,7037500
2020-01-15,146.399994,147.399994,146.240005,147.009995,122.805725,4960300
2020-01-16,147.419998,148.839996,146.199997,148.199997,123.799782,6476000
2020-01-17,148.410004,149.410004,147.929993,149.169998,124.610069,9083600
2020-01-21,148.580002,150.169998,148.500000,149.270004,124.693634,9543900
2020-01-22,146.699997,149.179993,146.000000,148.250000,123.841606,10305300
2020-01-23,148.039993,148.770004,146.759995,148.529999,124.075439,8671900
2020-01-24,148.580002,148.949997,147.929993,148.320007,123.900017,9051900
2020-01-27,147.520004,149.460007,147.000000,148.750000,124.259262,7587100
2020-01-28,148.460007,150.570007,148.149994,149.500000,124.885773,7336600
2020-01-29,149.449997,151.190002,149.130005,150.539993,125.754555,6288600
2020-01-30,150.029999,150.509995,149.050003,150.360001,125.604179,6470600
2020-01-31,149.750000,150.000000,148.639999,148.869995,124.359459,8651700
2020-02-03,149.419998,150.490005,149.240005,150.169998,125.445442,5765200
2020-02-04,151.490005,152.750000,151.199997,151.600006,126.639999,6541400
2020-02-05,151.720001,154.020004,151.309998,153.990005,128.636505,5979900
2020-02-06,154.250000,154.500000,152.740005,153.529999,128.252258,6201200
2020-02-07,153.339996,153.460007,151.550003,151.889999,126.882256,5700300
2020-02-10,151.679993,151.910004,150.889999,151.860001,126.857246,4835600
2020-02-11,152.289993,152.380005,151.539993,151.990005,126.965813,3715300
2020-02-12,151.869995,152.149994,150.919998,151.089996,126.213974,5166800
2020-02-13,150.160004,151.039993,149.880005,150.089996,125.378593,5480200
2020-02-14,150.559998,150.639999,149.149994,150.130005,125.412025,5716300
2020-02-18,150.470001,150.740005,149.059998,149.139999,124.585045,7230700
2020-02-19,149.210007,149.759995,148.580002,148.940002,124.417976,6115200
2020-02-20,148.610001,149.380005,147.399994,148.369995,123.941788,7464700
2020-02-21,148.089996,150.240005,147.539993,149.929993,125.244957,7776800
2020-02-24,146.500000,149.000000,145.250000,145.910004,122.664093,10588900
2020-02-25,145.990005,146.750000,143.830002,144.649994,121.604774,10529000
2020-02-26,145.350006,146.220001,143.589996,143.679993,120.789337,10093800
2020-02-27,142.559998,144.770004,138.949997,139.119995,116.955833,12566700
2020-02-28,135.360001,137.289993,130.820007,134.479996,113.055038,19820300
2020-03-02,134.779999,140.130005,134.009995,140.020004,117.712456,11508200
2020-03-03,140.000000,140.990005,133.100006,135.589996,113.988228,13662500
2020-03-04,137.679993,143.639999,137.139999,143.479996,120.621216,10560500
2020-03-05,140.800003,142.679993,139.839996,142.009995,119.385376,11339200
2020-03-06,138.479996,143.009995,137.410004,142.029999,119.402229,12239100
2020-03-09,136.330002,139.679993,134.899994,136.440002,114.702797,13848600
2020-03-10,139.970001,141.949997,134.229996,141.639999,119.074379,12698100
2020-03-11,138.089996,138.750000,131.500000,131.800003,110.802048,17763400
2020-03-12,127.309998,133.759995,124.500000,125.410004,105.430069,21539200
2020-03-13,129.320007,134.919998,124.650002,134.289993,112.895325,20084200
2020-03-16,123.570000,133.759995,122.430000,127.129997,106.876038,18877900
2020-03-17,128.550003,136.770004,127.809998,136.589996,114.828896,18911800
2020-03-18,131.020004,135.669998,128.710007,134.960007,113.458626,17521100
2020-03-19,134.990005,134.990005,126.150002,127.050003,106.808800,18482300
2020-03-20,126.830002,127.440002,118.129997,119.889999,100.789497,19785100
2020-03-23,117.000000,118.559998,109.160004,111.139999,93.433517,20815200
2020-03-24,118.760002,119.650002,113.860001,119.180000,100.192612,17604800
2020-03-25,118.910004,123.959999,116.699997,119.400002,100.377571,13986100
2020-03-26,120.570000,127.099998,120.379997,126.570000,106.405251,15066800
2020-03-27,121.650002,127.620003,120.580002,123.160004,103.538528,12133200
2020-03-30,128.460007,133.990005,127.500000,133.009995,111.819260,21754000
2020-03-31,134.990005,135.710007,130.050003,131.130005,110.238777,15746100
2020-04-01,127.699997,130.229996,125.500000,128.809998,108.288368,12606100
2020-04-02,129.119995,134.000000,127.220001,133.149994,111.936958,11594500
2020-04-03,132.380005,134.789993,131.580002,134.169998,112.794449,10071200
2020-04-06,137.009995,140.970001,135.539993,139.759995,117.493866,14994400
2020-04-07,139.860001,142.029999,137.259995,137.479996,115.577110,11567100
2020-04-08,137.750000,144.130005,137.300003,143.259995,120.436256,10758200
2020-04-09,144.009995,145.419998,140.279999,141.229996,118.729713,11125400
2020-04-13,140.000000,141.490005,137.839996,139.770004,117.502266,8153200
2020-04-14,145.419998,147.419998,144.050003,146.029999,122.764931,13838000
2020-04-15,145.550003,147.910004,143.539993,147.660004,124.135262,11962300
2020-04-16,148.309998,150.679993,146.440002,149.669998,125.825043,12181700
2020-04-17,151.990005,152.300003,149.600006,152.020004,127.800636,10920000
2020-04-20,150.929993,153.000000,150.089996,151.669998,127.506424,12226200
2020-04-21,150.119995,151.639999,148.570007,149.679993,125.833427,9951100
2020-04-22,152.809998,155.000000,151.729996,152.990005,128.616104,11515600
2020-04-23,154.250000,157.000000,153.699997,155.509995,130.734619,10665000
2020-04-24,155.570007,156.300003,153.639999,154.860001,130.188187,8653400
2020-04-27,154.809998,156.050003,154.000000,154.289993,129.708984,8924000
2020-04-28,151.250000,153.100006,150.699997,151.389999,127.271027,8558700
2020-04-29,151.380005,151.630005,149.160004,150.240005,126.304222,9285200
2020-04-30,148.460007,150.429993,147.160004,150.039993,126.136093,14829600
2020-05-01,149.619995,149.669998,146.789993,148.289993,124.664856,7309000
2020-05-04,148.770004,149.080002,147.089996,148.270004,124.648087,7198400
