Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,53.270000,53.959999,53.230000,53.950001,48.979183,13899600
2020-01-03,52.990002,54.049999,52.950001,53.759998,48.806690,11026700
2020-01-06,53.360001,54.200001,53.349998,54.040001,49.060886,10982400
2020-01-07,53.889999,54.330002,53.610001,54.160000,49.169834,12015400
2020-01-08,53.939999,54.599998,53.700001,54.130001,49.361336,11856700
2020-01-09,54.250000,54.799999,54.029999,54.380001,49.589306,10671000
2020-01-10,54.549999,54.650002,54.220001,54.450001,49.653145,9734800
2020-01-13,54.459999,54.790001,54.360001,54.580002,49.771687,10858900
2020-01-14,54.520000,55.180000,54.500000,54.880001,50.045273,12627200
2020-01-15,54.880001,55.180000,54.680000,54.759998,49.935829,9090800
2020-01-16,54.980000,55.450001,54.930000,55.430000,50.546810,9866000
2020-01-17,55.630001,55.689999,54.849998,55.130001,50.273239,11166600
2020-01-21,54.980000,55.360001,54.919998,55.220001,50.355309,8773000
2020-01-22,55.410000,55.650002,54.599998,54.720001,49.899353,6380500
2020-01-23,54.410000,55.000000,54.279999,54.980000,50.136452,6583200
2020-01-24,55.060001,55.200001,53.880001,54.070000,49.306618,6426000
2020-01-27,53.180000,53.520000,52.630001,52.689999,48.048195,8259100
2020-01-28,52.860001,53.680000,52.660000,53.459999,48.750355,8620300
2020-01-29,53.779999,53.939999,53.180000,53.200001,48.513264,6332500
2020-01-30,52.820000,53.330002,52.279999,53.310001,48.613567,7176200
2020-01-31,53.340000,53.490002,52.290001,52.450001,47.829346,8884700
2020-02-03,52.730000,53.410000,52.689999,53.090000,48.412949,8892500
2020-02-04,53.750000,54.560001,53.750000,54.040001,49.279259,9769800
2020-02-05,54.669998,55.029999,54.580002,54.740002,49.917603,9612900
2020-02-06,55.000000,55.349998,54.709999,54.709999,49.890232,8832000
2020-02-07,54.270000,54.970001,54.189999,54.720001,49.899353,7864800
2020-02-10,54.720001,55.070000,54.450001,54.990002,50.145569,7198200
2020-02-11,55.169998,55.540001,55.110001,55.150002,50.291470,8466600
2020-02-12,55.549999,55.889999,55.250000,55.730000,50.820366,7541100
2020-02-13,55.310001,55.639999,55.009998,55.310001,50.437378,8480100
2020-02-14,55.380001,55.840000,55.240002,55.470001,50.583282,7496800
2020-02-18,55.419998,55.759998,55.099998,55.450001,50.565044,7185700
2020-02-19,55.590000,55.770000,55.389999,55.439999,50.555920,6819200
2020-02-20,55.400002,55.869999,54.880001,55.509998,50.619755,6114600
2020-02-21,55.080002,55.340000,54.439999,54.680000,49.862877,9078600
2020-02-24,53.099998,53.529999,52.509998,52.650002,48.011719,10992500
2020-02-25,53.070000,53.220001,50.799999,50.959999,46.470600,12202600
2020-02-26,51.310001,53.139999,51.240002,52.049999,47.464573,16413100
2020-02-27,50.880001,53.459999,50.759998,50.779999,46.306458,16161100
2020-02-28,49.240002,49.889999,47.900002,49.459999,45.102737,24426000
2020-03-02,49.730000,50.900002,48.669998,50.900002,46.415894,17328500
